Timestamp,Event
2026-01-14 01:46:22.361376,UNAUTHORIZED ADMIN ACCESS - ip=127.0.0.1
2026-01-14 01:46:26.045998,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-14 01:46:26.056271,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:46:56.970296,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:47:01.914560,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 01:48:02.217010,LOGIN SUCCESS - user=Shweta - ip=127.0.0.1
2026-01-14 01:48:06.505223,UNAUTHORIZED ADMIN ACCESS - ip=127.0.0.1
2026-01-14 01:48:09.614473,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-14 01:48:09.624816,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 02:11:08.678525,SECURE HTTP HEADERS CONFIGURED
2026-01-14 02:11:32.218881,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 02:11:54.103878,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 02:11:58.273240,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 02:12:02.817107,LOGIN SPIKE CRITICAL - failed=51
2026-01-14 02:12:15.389226,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-14 02:12:18.251902,UNAUTHORIZED ADMIN PAGE ACCESS - user=soham - ip=127.0.0.1
2026-01-14 02:30:59.436005,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2026-01-14 02:31:06.699222,UNAUTHORIZED ADMIN PAGE ACCESS - user=soham - ip=127.0.0.1
2026-01-14 02:31:26.981599,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
